time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331260,c01d3c,43.68010711669922,-79.62290209393166,,,,WSW748  ,True,False,False,0533,144.78,,1656331254.328,1656331257.601
1656331260,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,144.78,137.16,1656331259.839,1656331259.879
1656331260,a70812,43.63609313964844,-79.65100665425143,97.18090898277377,223.06941255883302,11.05408,JIA5117 ,False,False,False,0546,731.52,731.52,1656331259.767,1656331259.976
1656331260,c06973,43.91807556152344,-80.30041361964027,52.473288000000004,28.072486935852954,-1.30048,CGNYG   ,False,False,False,1200,876.3000000000001,876.3000000000001,1656331250.697,1656331258.577
1656331260,ac71e7,43.67663625943459,-79.5970262799944,,,,AAL1746 ,True,False,False,2237,,,1656331259.62,1656331259.838
1656331260,a6f280,43.79017639160156,-79.48007982830666,82.61432474328107,254.838757421862,0.0,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331259.536,1656331259.988
1656331260,c08048,43.579376220703125,-79.69271637672597,141.64410034368188,141.34019174590992,6.1772800000000005,HRT119  ,False,False,False,6320,1638.3000000000002,1653.5400000000002,1656331259.94,1656331259.988
1656331260,c07f2e,43.690031665866655,-79.6358217511858,,,,WEN3218 ,True,False,False,3414,144.78,,1656331258.579,1656331259.992
1656331260,c1e7e7,43.667046498444115,-79.6230043683733,,,,,True,False,False,,,,1656331254.912,1656331254.912
1656331260,c040c5,43.67216491699219,-79.61059038029163,,,,ROU1790 ,True,False,False,2231,,,1656331259.902,1656331259.902
1656331260,a3183d,43.282362081236755,-78.9385986328125,267.4856512680418,94.96496767084768,0.65024,EDV5130 ,False,False,False,6257,10668.0,11056.62,1656331259.991,1656331259.991
1656331260,a73db7,43.134796142578125,-79.62181623591931,123.30032554992513,274.3070321860023,0.32512,N566FF  ,False,False,False,3413,9144.0,9441.18,1656331259.718,1656331259.987
1656331260,c0636a,43.636688232421875,-79.33783242868822,60.967582994695796,275.3257406247677,-2.27584,POE532  ,False,False,False,5537,335.28000000000003,320.04,1656331259.902,1656331259.92
1656331270,c0636a,43.63741599907309,-79.34528895786832,58.35709067218866,279.13017648227867,-3.5763200000000004,POE532  ,False,False,False,5537,297.18,289.56,1656331269.949,1656331269.949
1656331270,a73db7,43.1356201171875,-79.63695437409154,123.30032554992513,274.3070321860023,-0.32512,N566FF  ,False,False,False,3413,9144.0,9441.18,1656331269.735,1656331269.961
1656331270,a3183d,43.279243081302965,-78.907470703125,265.818247681365,99.24356751081247,0.0,EDV5130 ,False,False,False,6257,10668.0,11056.62,1656331269.961,1656331269.978
1656331270,c040c5,43.672609490863344,-79.6099417550223,,,,ROU1790 ,True,False,False,2231,152.4,,1656331269.451,1656331269.974
1656331270,c066f4,43.681617736816406,-79.61554061534792,,,,ACA402  ,True,False,False,2214,144.78,,1656331268.759,1656331269.973
1656331270,c07eda,43.876922607421875,-79.75978407748909,153.34660105988985,91.34562655657632,-6.502400000000001,WJA520  ,False,False,False,7165,2415.54,2438.4,1656331269.969,1656331269.973
1656331270,c1e805,43.675655364990234,-79.65653175531429,,,,MTC27   ,True,False,False,,,,1656331269.06,1656331269.06
1656331270,c01e28,43.729635982190146,-79.58339146205356,79.33120143332054,226.57655005518373,-4.22656,ACA401  ,False,False,False,1076,457.20000000000005,457.20000000000005,1656331269.662,1656331269.973
1656331270,aa395b,43.07606506347656,-79.134521484375,196.69327540677685,305.3112134396332,0.0,SKW3017 ,False,False,False,1150,10972.800000000001,11353.800000000001,1656331269.975,1656331269.975
1656331270,c038ac,43.67961560265493,-79.61788722446988,,,,ACA185  ,True,False,False,,,,1656331264.653,1656331269.124
1656331270,c1e865,43.69689812094478,-79.63369641985213,,,,SAF208  ,True,False,False,,,,1656331269.732,1656331269.732
1656331270,c1e95a,43.6881812144134,-79.62279183523995,,,,SWP269  ,True,False,False,,,,1656331269.733,1656331269.733
1656331270,78149e,43.67860309148239,-79.65475354875838,50.948140167879416,226.63657704161673,0.0,CSN5051 ,True,False,False,4153,,,1656331269.731,1656331269.973
1656331270,c04167,43.93199157714844,-79.48953318041424,94.59756523809463,326.30993247402023,5.20192,CFYTY   ,False,False,False,6353,5463.54,5554.98,1656331269.973,1656331269.973
1656331270,a6f280,43.7882080078125,-79.49036354242367,83.11097172124508,254.93151184050777,0.32512,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331269.861,1656331269.968
1656331270,a1094c,43.22370626158633,-79.22038487025668,152.24935197072497,308.69004349113214,-8.128,EDV4942 ,False,False,False,7135,4366.26,4442.46,1656331269.776,1656331269.974
1656331270,c08048,43.56971740722656,-79.68038869458576,149.51215442221493,134.5817900585029,5.8521600000000005,HRT119  ,False,False,False,6320,1691.64,1706.88,1656331269.861,1656331269.973
1656331270,a70812,43.62940979003906,-79.65899090434226,98.93521864631907,220.14888390469844,15.280640000000002,JIA5117 ,False,False,False,0546,868.6800000000001,853.44,1656331269.736,1656331269.894
1656331270,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,144.78,144.78,1656331268.642,1656331269.891
1656331270,c01d3c,43.68010711669922,-79.62290209393166,,,,WSW748  ,True,False,False,0533,144.78,,1656331254.328,1656331257.601
1656331270,c06973,43.91807556152344,-80.30041361964027,52.473288000000004,28.072486935852954,-1.30048,CGNYG   ,False,False,False,1200,876.3000000000001,876.3000000000001,1656331250.697,1656331269.409
